Texto,Entidades
Se debe ajustar la dosis de 14-hidroxidihidro-morfinona debido a los efectos secundarios observados.,"(14-hidroxidihidro-morfinona,28,55)"
Se debe ajustar la dosis de 1-Propanol debido a los efectos secundarios observados.,"(1-Propanol,28,38)"
"Se recetó 2,3,7,8-Tetraclorodi-benzo-p-dioxina para tratar la infección bacteriana.","(2,3,7,8-Tetraclorodi-benzo-p-dioxina,10,46)"
"Se ha reportado una reacción adversa grave al administrar 2,4,5-T (ácido tricloro-fenoxiacético).","(2,4,5-T (ácido tricloro-fenoxiacético),58,96)"
"Se ha reportado una reacción adversa grave al administrar 2,4,5-Triclorofenoxiacético, ácido.","(2,4,5-Triclorofenoxiacético, ácido,58,92)"
"El paciente fue tratado con 2,4-D (ácido diclorofeno-oxiacético) tras su diagnóstico de hipertensión.","(2,4-D (ácido diclorofeno-oxiacético),28,64)"
"El paciente fue tratado con 2,4-diclorofenoxiacético-acético, ácido tras su diagnóstico de hipertensión.","(2,4-diclorofenoxiacético-acético, ácido,28,67)"
"Se recetó 2,4-diisocianato de tolueno para tratar la infección bacteriana.","(2,4-diisocianato de tolueno,10,37)"
"Durante la consulta, se sugirió añadir 2-desoxi-5-fluorouridina al régimen terapéutico.","(2-desoxi-5-fluorouridina,39,63)"
"Durante la consulta, se sugirió añadir 2-Etoxietanol al régimen terapéutico.","(2-Etoxietanol,39,52)"
El paciente fue tratado con 2-Metoxietanol tras su diagnóstico de hipertensión.,"(2-Metoxietanol,28,42)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por 2-Propanol.","(2-Propanol,82,92)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por 3,4-metilendioximetanfetamina.","(3,4-metilendioximetanfetamina,82,111)"
"Durante la consulta, se sugirió añadir 4-Aminobutírico, ácido al régimen terapéutico.","(4-Aminobutírico, ácido,39,61)"
"El paciente fue tratado con 4-Aminofenol, derivados de tras su diagnóstico de hipertensión.","(4-Aminofenol, derivados de,28,54)"
