Texto,Entidades
El paciente fue tratado con 14-hidroxidihidro-morfinona tras su diagnóstico de hipertensión.,"(14-hidroxidihidro-morfinona,28,55"
Se debe ajustar la dosis de 1-Propanol debido a los efectos secundarios observados.,"(1-Propanol,28,38"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por 2,3,7,8-Tetraclorodi-benzo-p-dioxina.","(2,3,7,8-Tetraclorodi-benzo-p-dioxina,82,118"
"Durante la consulta, se sugirió añadir 2,4,5-T (ácido tricloro-fenoxiacético) al régimen terapéutico.","(2,4,5-T (ácido tricloro-fenoxiacético),39,77"
"Se debe ajustar la dosis de 2,4,5-Triclorofenoxiacético, ácido debido a los efectos secundarios observados.","(2,4,5-Triclorofenoxiacético, ácido,28,62"
"Se recetó 2,4-D (ácido diclorofeno-oxiacético) para tratar la infección bacteriana.","(2,4-D (ácido diclorofeno-oxiacético),10,46"
"Durante la consulta, se sugirió añadir 2,4-diclorofenoxiacético-acético, ácido al régimen terapéutico.","(2,4-diclorofenoxiacético-acético, ácido,39,78"
"Durante la consulta, se sugirió añadir 2,4-diisocianato de tolueno al régimen terapéutico.","(2,4-diisocianato de tolueno,39,66"
Se ha reportado una reacción adversa grave al administrar 2-desoxi-5-fluorouridina.,"(2-desoxi-5-fluorouridina,58,82"
Se ha reportado una reacción adversa grave al administrar 2-Etoxietanol.,"(2-Etoxietanol,58,71"
Se debe ajustar la dosis de 2-Metoxietanol debido a los efectos secundarios observados.,"(2-Metoxietanol,28,42"
Se debe ajustar la dosis de 2-Propanol debido a los efectos secundarios observados.,"(2-Propanol,28,38"
"El paciente fue tratado con 3,4-metilendioximetanfetamina tras su diagnóstico de hipertensión.","(3,4-metilendioximetanfetamina,28,57"
"Durante la consulta, se sugirió añadir 4-Aminobutírico, ácido al régimen terapéutico.","(4-Aminobutírico, ácido,39,61"
"Se debe ajustar la dosis de 4-Aminofenol, derivados de debido a los efectos secundarios observados.","(4-Aminofenol, derivados de,28,54"
